Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 0.25641 99.2308 100 0 0 0.512821 0.512821 41.2821 9.23077 7.94872 6.15385
BFS 0 0 2.05128 100 0 2.05128 0.769231 0.769231 38.9744 7.69231 10.7692 6.15385
BLACKSCHOLES_10M 0 0 76.9231 100 18.2051 76.9231 0.512821 0.512821 38.9744 4.10256 2.30769 2.05128
BODYTRACK 0.512821 76.9231 0 100 17.4359 94.1026 0.769231 0.769231 39.2308 1.79487 3.07692 2.05128
FACESIM 0.512821 76.9231 76.9231 100 17.1795 75.8974 1.79487 1.79487 44.6154 1.53846 3.58974 2.5641
FERRET 0.512821 76.9231 62.5641 100 18.9744 76.9231 0.512821 0.512821 40 3.07692 3.58974 2.05128
HEARTWALL 0.25641 76.9231 76.9231 100 18.9744 76.9231 0.512821 0.512821 43.0769 1.79487 2.5641 2.05128
HOTSPOT 0 0 0 100 0 97.9487 0.769231 0.769231 37.9487 5.38462 5.89744 5.89744
JACOBI 0.512821 76.6667 100 100 32.0513 32.0513 6.66667 3.07692 40.7692 8.20513 7.69231 4.87179
KMEANS 0.512821 76.9231 45.641 100 19.4872 76.9231 0.769231 0.512821 38.7179 1.02564 2.82051 1.28205
KMEANSNF 0.25641 76.6667 19.4872 100 48.2051 47.6923 8.71795 10.7692 38.7179 6.15385 4.35897 3.33333
LAVAMD 0 0 100 100 0 0 0.512821 0.512821 35.641 9.23077 6.41026 5.89744
LEUKOCYTE 0.512821 76.9231 76.9231 100 76.9231 76.9231 1.28205 0.769231 38.7179 8.46154 5.12821 5.12821
LUD 0.512821 76.9231 88.9744 100 100 21.7949 0.512821 0.512821 42.8205 4.35897 3.07692 3.07692
NW 0.512821 77.4359 2.05128 100 0 0 1.79487 1.79487 38.9744 2.82051 5.89744 3.07692
SHA 0.512821 76.9231 0 100 17.1795 100 0.512821 0.512821 38.4615 2.30769 3.07692 2.82051
SRAD 0.512821 76.9231 100 100 0 0 1.28205 1.28205 40 4.35897 4.35897 4.87179
STREAM 0 0.25641 0 100 38.2051 0 11.5385 14.6154 40.7692 11.7949 10.7692 10.7692
STREAM_threads 0 0.769231 100 100 100 0 13.3333 4.87179 40.2564 12.3077 100 9.23077
X264_ducks 0.512821 77.1795 24.8718 100 21.0256 76.9231 1.02564 1.02564 41.7949 2.82051 4.61538 3.58974
X264_native 0.512821 76.9231 76.9231 100 20 76.9231 1.28205 1.28205 41.7949 1.53846 3.84615 1.28205
AVERAGE 0.317461 51.3553 53.7851 100 26.8498 48.0952 2.63736 2.27106 40.0733 5.2381 9.60928 4.20024
