Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
BACKPROP 0 3.88658 9.65988 26.6995 19.717 8.5612 41.0473 41.1635 10.5368 9.33555 11.9727 7.54227
BFS 0 1.85826 0 19.7133 8.63878 0 39.4697 39.4697 7.94465 5.70713 5.59508 5.37502
BLACKSCHOLES_10M 0 1.45594 66.0918 62.9311 80.1726 66.0918 72.3486 72.3497 45.4905 29.149 52.6599 43.6619
BODYTRACK 0 13.2798 3.92782 0.316322 47.0152 4.20942 26.6013 26.6032 14.16 5.15333 3.86089 4.69811
FACESIM 0 3.18911 8.98466 8.97102 56.1784 12.7141 25.3511 25.3935 17.6458 6.48832 5.10277 6.29053
FERRET 0 5.40086 13.4539 0 40.8282 5.16236 20.404 20.406 10.9533 4.04406 4.20678 4.04566
HEARTWALL 0 17.1995 21.4847 7.79269 49.4851 17.0745 31.1129 31.1143 17.4913 6.93644 5.78901 5.4739
HOTSPOT 0 3.47443 0 14.6048 3.42097 0 35.1279 35.1301 9.81414 4.99449 5.29683 5.55296
JACOBI 0 17.7177 30.9753 35.1783 18.3311 18.3404 22.1441 26.4804 16.7886 13.4456 11.9922 14.0889
KMEANS 0 0 10.9246 0 41.151 0 19.1927 19.195 15.2779 3.37153 7.81295 3.21804
KMEANSNF 0 16.8337 26.4845 36.1718 68.716 19.9861 24.3475 24.4655 11.086 9.69721 9.15395 8.11582
LAVAMD 0 3.92312 75.6492 80.1247 20.8365 20.8472 84.8679 84.8884 51.1402 37.2722 35.5856 36.1353
LEUKOCYTE 0 16.9224 16.5702 39.4359 16.633 16.6863 50.1157 51.7815 16.0251 13.0663 11.9666 12.0231
LUD 0 9.43099 0 4.66492 92.3257 26.0734 21.6252 21.627 9.00778 3.57349 2.55791 5.69555
NW 0 22.294 0.933034 17.8063 10.9025 10.9029 40.1007 40.0991 11.019 6.59656 7.91749 6.53769
SHA 0 16.1412 5.03992 4.39227 46.8689 7.94434 30.8734 30.8734 10.8469 5.04304 4.62357 4.70109
SRAD 0 7.07117 22.6425 6.64196 8.21917 8.22219 20.0323 20.0448 12.3212 6.74194 5.73614 8.56693
STREAM 0 0.0622832 0.129691 31.5188 18.8213 6.71397 24.4241 27.893 13.9357 15.2901 12.4744 13.6735
STREAM_threads 0 0.751452 33.3164 47.2017 100 0.274168 31.2358 39.1082 19.1632 18.3453 100 17.2888
X264_ducks 0 4.97139 17.2759 0 42.3844 10.0108 18.7848 18.7887 15.0189 4.64069 14.1316 4.59066
X264_native 0 6.98547 11.956 0 42.3115 6.54401 19.1727 19.1773 9.37962 3.49663 3.69595 3.66947
AVERAGE 0 8.23092 17.881 21.1507 39.6646 12.6838 33.2562 34.0977 16.4308 10.1138 15.3396 10.5212
