0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 0.0 100.0 100.0 0.0 0.0 1.03 1.03 40.51 6.92 6.67 6.15
2 BFS 0.51 76.92 0.0 100.0 0.0 12.82 12.05 12.05 41.28 6.41 6.92 7.44
3 BLACKSCHOLES_10M 0.0 0.0 76.92 100.0 33.85 76.92 0.77 0.77 46.15 3.59 1.54 1.79
4 BODYTRACK 0.51 77.18 76.92 100.0 22.56 76.92 3.08 3.08 39.23 2.05 3.08 1.28
5 FACESIM 0.51 76.92 76.92 100.0 21.79 76.92 0.77 0.77 43.59 3.85 3.59 3.08
6 FERRET 0.51 76.92 71.03 100.0 46.15 76.92 1.79 1.79 43.33 2.05 1.54 3.08
7 HEARTWALL 0.51 76.92 76.92 100.0 32.31 76.92 0.51 0.51 42.05 1.54 2.31 2.31
8 HOTSPOT 0.51 0.26 0.0 100.0 24.36 100.0 47.18 47.18 40.77 4.62 5.38 5.9
9 JACOBI 0.51 77.18 100.0 100.0 76.15 76.15 6.15 3.59 40.77 5.38 5.38 3.08
10 KMEANS 0.51 76.92 64.36 100.0 48.21 76.92 4.1 4.1 41.79 1.79 2.05 2.31
11 KMEANSNF 0.51 76.92 76.92 100.0 76.92 45.9 4.62 4.87 38.72 5.38 3.33 3.08
12 LAVAMD 0.0 0.26 98.97 100.0 0.0 77.95 0.77 0.77 41.28 8.21 5.13 5.13
13 LEUKOCYTE 0.51 77.18 77.18 100.0 76.92 76.92 0.77 0.51 43.08 6.92 6.15 4.87
14 LUD 0.51 76.92 100.0 100.0 100.0 23.33 0.77 0.77 44.1 6.92 94.36 4.62
15 NW 0.51 76.92 1.28 100.0 0.0 0.0 2.56 2.56 42.31 1.79 3.59 2.31
16 SHA 0.51 76.92 0.0 100.0 22.56 80.26 13.85 13.85 38.97 3.33 2.82 3.08
17 SRAD 0.51 76.92 14.87 100.0 0.51 0.51 1.28 1.28 40.26 4.87 2.82 5.38
18 STREAM 0.0 0.26 0.0 100.0 76.92 0.0 9.23 11.79 38.97 11.79 8.97 9.49
19 STREAM_threads 0.0 0.0 100.0 100.0 100.0 0.0 12.05 4.36 39.23 11.03 100.0 7.95
20 X264_ducks 0.51 76.92 33.85 100.0 62.82 76.92 0.77 0.77 49.74 1.79 3.59 3.08
21 X264_native 0.51 76.92 61.54 100.0 41.28 76.92 1.28 1.28 42.56 2.31 2.82 2.56
22 AVERAGE 0.39 55.02 57.51 100.0 41.11 52.82 5.97 5.6 41.84 4.88 12.95 4.19
