0 Benchmark OPTIMAL RACE ONLINE OFFLINE NUCLEAR HBM CONTROL ADAPT-CONTROL CALOREE-NP ONLINE-ADAPT NUCLEAR-ADAPT HBM-ADAPT
1 BACKPROP 0.0 0.26 99.23 100.0 0.0 0.0 0.51 0.51 41.28 9.23 7.95 6.15
2 BFS 0.0 0.0 2.05 100.0 0.0 2.05 0.77 0.77 38.97 7.69 10.77 6.15
3 BLACKSCHOLES_10M 0.0 0.0 76.92 100.0 18.21 76.92 0.51 0.51 38.97 4.1 2.31 2.05
4 BODYTRACK 0.51 76.92 0.0 100.0 17.44 94.1 0.77 0.77 39.23 1.79 3.08 2.05
5 FACESIM 0.51 76.92 76.92 100.0 17.18 75.9 1.79 1.79 44.62 1.54 3.59 2.56
6 FERRET 0.51 76.92 62.56 100.0 18.97 76.92 0.51 0.51 40.0 3.08 3.59 2.05
7 HEARTWALL 0.26 76.92 76.92 100.0 18.97 76.92 0.51 0.51 43.08 1.79 2.56 2.05
8 HOTSPOT 0.0 0.0 0.0 100.0 0.0 97.95 0.77 0.77 37.95 5.38 5.9 5.9
9 JACOBI 0.51 76.67 100.0 100.0 32.05 32.05 6.67 3.08 40.77 8.21 7.69 4.87
10 KMEANS 0.51 76.92 45.64 100.0 19.49 76.92 0.77 0.51 38.72 1.03 2.82 1.28
11 KMEANSNF 0.26 76.67 19.49 100.0 48.21 47.69 8.72 10.77 38.72 6.15 4.36 3.33
12 LAVAMD 0.0 0.0 100.0 100.0 0.0 0.0 0.51 0.51 35.64 9.23 6.41 5.9
13 LEUKOCYTE 0.51 76.92 76.92 100.0 76.92 76.92 1.28 0.77 38.72 8.46 5.13 5.13
14 LUD 0.51 76.92 88.97 100.0 100.0 21.79 0.51 0.51 42.82 4.36 3.08 3.08
15 NW 0.51 77.44 2.05 100.0 0.0 0.0 1.79 1.79 38.97 2.82 5.9 3.08
16 SHA 0.51 76.92 0.0 100.0 17.18 100.0 0.51 0.51 38.46 2.31 3.08 2.82
17 SRAD 0.51 76.92 100.0 100.0 0.0 0.0 1.28 1.28 40.0 4.36 4.36 4.87
18 STREAM 0.0 0.26 0.0 100.0 38.21 0.0 11.54 14.62 40.77 11.79 10.77 10.77
19 STREAM_threads 0.0 0.77 100.0 100.0 100.0 0.0 13.33 4.87 40.26 12.31 100.0 9.23
20 X264_ducks 0.51 77.18 24.87 100.0 21.03 76.92 1.03 1.03 41.79 2.82 4.62 3.59
21 X264_native 0.51 76.92 76.92 100.0 20.0 76.92 1.28 1.28 41.79 1.54 3.85 1.28
22 AVERAGE 0.32 51.36 53.79 100.0 26.85 48.1 2.64 2.27 40.07 5.24 9.61 4.2
